,ud,opus100,ersatz,mc4,no_whitespace,no_punctuation
af,UD_Afrikaans-AfriBooms,af-en,,af,False,False
am,,am-en,,am,False,False
ar,UD_Arabic-PADT,ar-en,iwsltt2017.ar,ar,False,False
az,,az-en,,az,False,False
be,UD_Belarusian-HSE,be-en,,be,False,False
bg,UD_Bulgarian-BTB,bg-en,,bg,False,False
bn,UD_Bengali-BRU,bn-en,,bn,False,False
ca,UD_Catalan-AnCora,ca-en,,ca,False,False
ceb,UD_Cebuano-GJA,,,ceb,False,False
cs,UD_Czech-PDT,cs-en,wmt20.cs-en.cs,cs,False,False
cy,UD_Welsh-CCG,cy-en,,cy,False,False
da,UD_Danish-DDT,da-en,,da,False,False
de,UD_German-GSD,de-en,wmt20.de-en.de,de,False,False
el,UD_Greek-GDT,el-en,,el,False,False
en,UD_English-GUM,en-eo,wsj.03-06.en,en,False,False
eo,,en-eo,,eo,False,False
es,UD_Spanish-AnCora,en-es,wmt13.es-en.es,es,False,False
et,UD_Estonian-EDT,en-et,wmt18.et-en.et,et,False,False
eu,UD_Basque-BDT,en-eu,,eu,False,False
fa,UD_Persian-PerDT,en-fa,,fa,False,False
fi,UD_Finnish-TDT,en-fi,wmt19.fi-en.fi,fi,False,False
fr,UD_French-GSD,fr-nl,wmt20.fr-de.fr,fr,False,False
fy,,en-fy,,fy,False,False
ga,UD_Irish-IDT,en-ga,,ga,False,False
gd,UD_Scottish_Gaelic-ARCOSG,en-gd,,gd,False,False
gl,UD_Galician-TreeGal,en-gl,,gl,False,False
gu,,en-gu,wmt19.gu-en.gu,gu,False,False
ha,,en-ha,,ha,False,False
he,UD_Hebrew-IAHLTwiki,en-he,,he,False,False
hi,UD_Hindi-HDTB,en-hi,wmt14.hi-en.hi,hi,False,False
hu,UD_Hungarian-Szeged,en-hu,,hu,False,False
hy,UD_Armenian-BSUT,en-hy,,hy,False,False
id,UD_Indonesian-PUD,en-id,,id,False,False
ig,,en-ig,,ig,False,False
is,UD_Icelandic-IcePaHC,en-is,,is,False,False
it,UD_Italian-ISDT,en-it,,it,False,False
ja,UD_Japanese-GSD,en-ja,wmt20.ja-en.ja,ja,True,False
jv,UD_Javanese-CSUI,,,jv,False,False
ka,,en-ka,,ka,False,False
kk,UD_Kazakh-KTB,en-kk,wmt19.kk-en.kk,kk,False,False
km,,en-km,wmt20.km-en.km,km,True,False
kn,,en-kn,,kn,False,False
ko,UD_Korean-Kaist,en-ko,,ko,False,False
ku,,en-ku,,ku,False,False
ky,,en-ky,,ky,False,False
la,UD_Latin-ITTB,,,la,False,False
lt,UD_Lithuanian-ALKSNIS,en-lt,wmt19.lt-en.lt,lt,False,False
lv,UD_Latvian-LVTB,en-lv,wmt17.lv-en.lv,lv,False,False
mg,,en-mg,,mg,False,False
mk,,en-mk,,mk,False,False
ml,,en-ml,,ml,False,False
mn,,en-mn,,mn,False,False
mr,UD_Marathi-UFAL,en-mr,,mr,False,False
ms,,en-ms,,ms,False,False
mt,UD_Maltese-MUDT,en-mt,,mt,False,False
my,,en-my,,my,True,False
ne,,en-ne,,ne,False,False
nl,UD_Dutch-Alpino,nl-ru,,nl,False,False
no,UD_Norwegian-Bokmaal,en-no,,no,False,False
pa,,en-pa,,pa,False,False
pl,UD_Polish-PDB,en-pl,wmt20.pl-en.pl,pl,False,False
ps,,en-ps,wmt20.ps-en.ps,ps,False,False
pt,UD_Portuguese-Bosque,en-pt,,pt,False,False
ro,UD_Romanian-Nonstandard,en-ro,wmt16.ro-en.ro,ro,False,False
ru,UD_Russian-Taiga,ru-zh,wmt20.ru-en.ru,ru,False,False
si,,en-si,,si,False,False
sk,UD_Slovak-SNK,en-sk,,sk,False,False
sl,UD_Slovenian-SSJ,en-sl,,sl,False,False
sq,UD_Albanian-TSA,en-sq,,sq,False,False
sr,UD_Serbian-SET,en-sr,,sr,False,False
sv,UD_Swedish-LinES,en-sv,,sv,False,False
ta,UD_Tamil-TTB,en-ta,wmt20.ta-en.ta,ta,False,False
te,,en-te,,te,False,False
tg,,en-tg,,tg,False,False
th,UD_Thai-PUD,en-th,,th,False,True
tr,UD_Turkish-IMST,en-tr,wmt18.tr-en.tr,tr,False,False
uk,UD_Ukrainian-IU,en-uk,,uk,False,False
ur,UD_Urdu-UDTB,en-ur,,ur,False,False
uz,,en-uz,,uz,False,False
vi,UD_Vietnamese-VTB,en-vi,,vi,False,False
xh,,en-xh,,xh,False,False
yi,,en-yi,,yi,False,False
yo,UD_Yoruba-YTB,en-yo,,yo,False,False
zh,UD_Chinese-GSDSimp,en-zh,wmt20.zh-en.zh,zh,True,False
zu,,en-zu,,zu,False,False
